TYPE,COUNT,MONTH,YEAR,DATE
Motor Vehicle Theft,98,January,2013,01/31/2013 12:00:00 AM
Homicide,2,February,2013,02/28/2013 12:00:00 AM
Rape,8,February,2013,02/28/2013 12:00:00 AM
Robbery,80,February,2013,02/28/2013 12:00:00 AM
Assault,95,February,2013,02/28/2013 12:00:00 AM
Burglary,212,February,2013,02/28/2013 12:00:00 AM
Motor Vehicle Theft,55,February,2013,02/28/2013 12:00:00 AM
Homicide,4,March,2013,03/31/2013 12:00:00 AM
Rape,15,March,2013,03/31/2013 12:00:00 AM
Robbery,99,March,2013,03/31/2013 12:00:00 AM
Assault,126,March,2013,03/31/2013 12:00:00 AM
Burglary,278,March,2013,03/31/2013 12:00:00 AM
Motor Vehicle Theft,68,March,2013,03/31/2013 12:00:00 AM
Homicide,4,April,2013,04/30/2013 12:00:00 AM
Rape,12,April,2013,04/30/2013 12:00:00 AM
Robbery,116,April,2013,04/30/2013 12:00:00 AM
Assault,144,April,2013,04/30/2013 12:00:00 AM
Burglary,277,April,2013,04/30/2013 12:00:00 AM
Motor Vehicle Theft,75,April,2013,04/30/2013 12:00:00 AM
Homicide,4,May,2013,05/31/2013 12:00:00 AM
Rape,17,May,2013,05/31/2013 12:00:00 AM
Robbery,89,May,2013,05/31/2013 12:00:00 AM
Assault,171,May,2013,05/31/2013 12:00:00 AM
Burglary,278,May,2013,05/31/2013 12:00:00 AM
Motor Vehicle Theft,78,May,2013,05/31/2013 12:00:00 AM
Homicide,3,June,2013,06/30/2013 12:00:00 AM
Rape,14,June,2013,06/30/2013 12:00:00 AM
Robbery,130,June,2013,06/30/2013 12:00:00 AM
Assault,171,June,2013,06/30/2013 12:00:00 AM
Burglary,330,June,2013,06/30/2013 12:00:00 AM
Motor Vehicle Theft,99,June,2013,06/30/2013 12:00:00 AM
Homicide,5,July,2013,07/31/2013 12:00:00 AM
Rape,12,July,2013,07/31/2013 12:00:00 AM
Robbery,115,July,2013,07/31/2013 12:00:00 AM
Assault,182,July,2013,07/31/2013 12:00:00 AM
Burglary,342,July,2013,07/31/2013 12:00:00 AM
Motor Vehicle Theft,109,July,2013,07/31/2013 12:00:00 AM
Homicide,5,August,2013,08/31/2013 12:00:00 AM
Rape,18,August,2013,08/31/2013 12:00:00 AM
Robbery,139,August,2013,08/31/2013 12:00:00 AM
Assault,183,August,2013,08/31/2013 12:00:00 AM
Burglary,304,August,2013,08/31/2013 12:00:00 AM
Motor Vehicle Theft,85,August,2013,08/31/2013 12:00:00 AM
Homicide,4,September,2013,09/30/2013 12:00:00 AM
Rape,12,September,2013,09/30/2013 12:00:00 AM
Robbery,121,September,2013,09/30/2013 12:00:00 AM
Assault,149,September,2013,09/30/2013 12:00:00 AM
Burglary,317,September,2013,09/30/2013 12:00:00 AM
Motor Vehicle Theft,73,September,2013,09/30/2013 12:00:00 AM
Homicide,4,October,2013,10/31/2013 12:00:00 AM
Rape,9,October,2013,10/31/2013 12:00:00 AM
Robbery,132,October,2013,10/31/2013 12:00:00 AM
Assault,121,October,2013,10/31/2013 12:00:00 AM
Burglary,336,October,2013,10/31/2013 12:00:00 AM
Motor Vehicle Theft,73,October,2013,10/31/2013 12:00:00 AM
Homicide,4,November,2013,11/30/2013 12:00:00 AM
Rape,13,November,2013,11/30/2013 12:00:00 AM
Robbery,96,November,2013,11/30/2013 12:00:00 AM
Assault,117,November,2013,11/30/2013 12:00:00 AM
Burglary,263,November,2013,11/30/2013 12:00:00 AM
Motor Vehicle Theft,80,November,2013,11/30/2013 12:00:00 AM
Homicide,7,December,2013,12/31/2013 12:00:00 AM
Rape,10,December,2013,12/31/2013 12:00:00 AM
Robbery,111,December,2013,12/31/2013 12:00:00 AM
Assault,106,December,2013,12/31/2013 12:00:00 AM
Burglary,282,December,2013,12/31/2013 12:00:00 AM
Motor Vehicle Theft,86,December,2013,12/31/2013 12:00:00 AM
Homicide,3,January,2014,01/31/2014 12:00:00 AM
Rape,12,January,2014,01/31/2014 12:00:00 AM
Robbery,112,January,2014,01/31/2014 12:00:00 AM
Assault,100,January,2014,01/31/2014 12:00:00 AM
Burglary,218,January,2014,01/31/2014 12:00:00 AM
Motor Vehicle Theft,91,January,2014,01/31/2014 12:00:00 AM
Homicide,3,February,2014,02/28/2014 12:00:00 AM
Rape,6,February,2014,02/28/2014 12:00:00 AM
Robbery,57,February,2014,02/28/2014 12:00:00 AM
Assault,103,February,2014,02/28/2014 12:00:00 AM
Burglary,164,February,2014,02/28/2014 12:00:00 AM
Motor Vehicle Theft,77,February,2014,02/28/2014 12:00:00 AM
Homicide,3,March,2014,03/31/2014 12:00:00 AM
Rape,16,March,2014,03/31/2014 12:00:00 AM
Robbery,65,March,2014,03/31/2014 12:00:00 AM
Assault,105,March,2014,03/31/2014 12:00:00 AM
Burglary,211,March,2014,03/31/2014 12:00:00 AM
Motor Vehicle Theft,71,March,2014,03/31/2014 12:00:00 AM
Homicide,1,April,2014,04/30/2014 12:00:00 AM
Rape,15,April,2014,04/30/2014 12:00:00 AM
Robbery,119,April,2014,04/30/2014 12:00:00 AM
Assault,137,April,2014,04/30/2014 12:00:00 AM
Burglary,234,April,2014,04/30/2014 12:00:00 AM
Motor Vehicle Theft,93,April,2014,04/30/2014 12:00:00 AM
Homicide,6,May,2014,05/31/2014 12:00:00 AM
Rape,11,May,2014,05/31/2014 12:00:00 AM
Robbery,130,May,2014,05/31/2014 12:00:00 AM
Assault,173,May,2014,05/31/2014 12:00:00 AM
Burglary,302,May,2014,05/31/2014 12:00:00 AM
Motor Vehicle Theft,90,May,2014,05/31/2014 12:00:00 AM
Homicide,5,June,2014,06/30/2014 12:00:00 AM
Rape,16,June,2014,06/30/2014 12:00:00 AM
Robbery,127,June,2014,06/30/2014 12:00:00 AM
Assault,159,June,2014,06/30/2014 12:00:00 AM
Burglary,309,June,2014,06/30/2014 12:00:00 AM
Motor Vehicle Theft,80,June,2014,06/30/2014 12:00:00 AM
Homicide,7,July,2014,07/31/2014 12:00:00 AM
Rape,22,July,2014,07/31/2014 12:00:00 AM
Robbery,135,July,2014,07/31/2014 12:00:00 AM
Assault,181,July,2014,07/31/2014 12:00:00 AM
Burglary,265,July,2014,07/31/2014 12:00:00 AM
Motor Vehicle Theft,62,July,2014,07/31/2014 12:00:00 AM
Homicide,6,August,2014,08/31/2014 12:00:00 AM
Rape,18,August,2014,08/31/2014 12:00:00 AM
Robbery,126,August,2014,08/31/2014 12:00:00 AM
Assault,153,August,2014,08/31/2014 12:00:00 AM
Burglary,284,August,2014,08/31/2014 12:00:00 AM
Motor Vehicle Theft,79,August,2014,08/31/2014 12:00:00 AM
Homicide,4,September,2014,09/30/2014 12:00:00 AM
Rape,11,September,2014,09/30/2014 12:00:00 AM
Robbery,92,September,2014,09/30/2014 12:00:00 AM
Assault,134,September,2014,09/30/2014 12:00:00 AM
Burglary,285,September,2014,09/30/2014 12:00:00 AM
Motor Vehicle Theft,88,September,2014,09/30/2014 12:00:00 AM
Homicide,8,October,2014,10/31/2014 12:00:00 AM
Rape,13,October,2014,10/31/2014 12:00:00 AM
Robbery,115,October,2014,10/31/2014 12:00:00 AM
Assault,118,October,2014,10/31/2014 12:00:00 AM
Burglary,289,October,2014,10/31/2014 12:00:00 AM
Motor Vehicle Theft,85,October,2014,10/31/2014 12:00:00 AM
Homicide,4,November,2014,11/30/2014 12:00:00 AM
Rape,13,November,2014,11/30/2014 12:00:00 AM
Robbery,97,November,2014,11/30/2014 12:00:00 AM
Assault,119,November,2014,11/30/2014 12:00:00 AM
Burglary,258,November,2014,11/30/2014 12:00:00 AM
Motor Vehicle Theft,64,November,2014,11/30/2014 12:00:00 AM
Homicide,12,December,2014,12/31/2014 12:00:00 AM
Rape,11,December,2014,12/31/2014 12:00:00 AM
Robbery,104,December,2014,12/31/2014 12:00:00 AM
Assault,122,December,2014,12/31/2014 12:00:00 AM
Burglary,301,December,2014,12/31/2014 12:00:00 AM
Motor Vehicle Theft,98,December,2014,12/31/2014 12:00:00 AM
Homicide,1,January,2015,01/31/2015 12:00:00 AM
Rape,7,January,2015,01/31/2015 12:00:00 AM
Robbery,93,January,2015,01/31/2015 12:00:00 AM
Assault,108,January,2015,01/31/2015 12:00:00 AM
Burglary,178,January,2015,01/31/2015 12:00:00 AM
Motor Vehicle Theft,94,January,2015,01/31/2015 12:00:00 AM
Homicide,2,February,2015,02/28/2015 12:00:00 AM
Rape,7,February,2015,02/28/2015 12:00:00 AM
Robbery,54,February,2015,02/28/2015 12:00:00 AM
Assault,75,February,2015,02/28/2015 12:00:00 AM
Burglary,133,February,2015,02/28/2015 12:00:00 AM
Motor Vehicle Theft,60,February,2015,02/28/2015 12:00:00 AM
Homicide,2,March,2015,03/31/2015 12:00:00 AM
Rape,8,March,2015,03/31/2015 12:00:00 AM
Robbery,78,March,2015,03/31/2015 12:00:00 AM
Assault,114,March,2015,03/31/2015 12:00:00 AM
Burglary,135,March,2015,03/31/2015 12:00:00 AM
Motor Vehicle Theft,69,March,2015,03/31/2015 12:00:00 AM
Homicide,1,April,2015,04/30/2015 12:00:00 AM
Rape,14,April,2015,04/30/2015 12:00:00 AM
Robbery,79,April,2015,04/30/2015 12:00:00 AM
Assault,143,April,2015,04/30/2015 12:00:00 AM
Burglary,162,April,2015,04/30/2015 12:00:00 AM
Motor Vehicle Theft,80,April,2015,04/30/2015 12:00:00 AM
Homicide,2,May,2015,05/31/2015 12:00:00 AM
Rape,25,May,2015,05/31/2015 12:00:00 AM
Robbery,82,May,2015,05/31/2015 12:00:00 AM
Assault,133,May,2015,05/31/2015 12:00:00 AM
Burglary,191,May,2015,05/31/2015 12:00:00 AM
Motor Vehicle Theft,97,May,2015,05/31/2015 12:00:00 AM
Homicide,4,June,2015,06/30/2015 12:00:00 AM
Rape,21,June,2015,06/30/2015 12:00:00 AM
Robbery,73,June,2015,06/30/2015 12:00:00 AM
Assault,153,June,2015,06/30/2015 12:00:00 AM
Burglary,237,June,2015,06/30/2015 12:00:00 AM
Motor Vehicle Theft,85,June,2015,06/30/2015 12:00:00 AM
Homicide,4,July,2015,07/31/2015 12:00:00 AM
Rape,16,July,2015,07/31/2015 12:00:00 AM
Robbery,80,July,2015,07/31/2015 12:00:00 AM
Assault,175,July,2015,07/31/2015 12:00:00 AM
Burglary,272,July,2015,07/31/2015 12:00:00 AM
Motor Vehicle Theft,102,July,2015,07/31/2015 12:00:00 AM
Homicide,3,August,2015,08/31/2015 12:00:00 AM
Rape,18,August,2015,08/31/2015 12:00:00 AM
Robbery,100,August,2015,08/31/2015 12:00:00 AM
Assault,167,August,2015,08/31/2015 12:00:00 AM
Burglary,280,August,2015,08/31/2015 12:00:00 AM
Motor Vehicle Theft,85,August,2015,08/31/2015 12:00:00 AM
Homicide,12,September,2015,09/30/2015 12:00:00 AM
Rape,19,September,2015,09/30/2015 12:00:00 AM
Robbery,89,September,2015,09/30/2015 12:00:00 AM
Assault,147,September,2015,09/30/2015 12:00:00 AM
Burglary,288,September,2015,09/30/2015 12:00:00 AM
Motor Vehicle Theft,78,September,2015,09/30/2015 12:00:00 AM
Homicide,7,October,2015,10/31/2015 12:00:00 AM
Rape,19,October,2015,10/31/2015 12:00:00 AM
Robbery,94,October,2015,10/31/2015 12:00:00 AM
Assault,145,October,2015,10/31/2015 12:00:00 AM
Burglary,342,October,2015,10/31/2015 12:00:00 AM
Motor Vehicle Theft,86,October,2015,10/31/2015 12:00:00 AM
Homicide,3,November,2015,11/30/2015 12:00:00 AM
Rape,11,November,2015,11/30/2015 12:00:00 AM
Robbery,101,November,2015,11/30/2015 12:00:00 AM
Assault,127,November,2015,11/30/2015 12:00:00 AM
Burglary,274,November,2015,11/30/2015 12:00:00 AM
Motor Vehicle Theft,75,November,2015,11/30/2015 12:00:00 AM
Homicide,2,December,2015,12/31/2015 12:00:00 AM
Rape,10,December,2015,12/31/2015 12:00:00 AM
Robbery,112,December,2015,12/31/2015 12:00:00 AM
Assault,108,December,2015,12/31/2015 12:00:00 AM
Burglary,294,December,2015,12/31/2015 12:00:00 AM
Motor Vehicle Theft,68,December,2015,12/31/2015 12:00:00 AM
Homicide,3,January,2016,01/31/2016 12:00:00 AM
Rape,13,January,2016,01/31/2016 12:00:00 AM
Robbery,102,January,2016,01/31/2016 12:00:00 AM
Assault,106,January,2016,01/31/2016 12:00:00 AM
Burglary,217,January,2016,01/31/2016 12:00:00 AM
Motor Vehicle Theft,69,January,2016,01/31/2016 12:00:00 AM
Homicide,3,February,2016,02/29/2016 12:00:00 AM
Rape,26,February,2016,02/29/2016 12:00:00 AM
Robbery,62,February,2016,02/29/2016 12:00:00 AM
Assault,112,February,2016,02/29/2016 12:00:00 AM
Burglary,153,February,2016,02/29/2016 12:00:00 AM
Motor Vehicle Theft,42,February,2016,02/29/2016 12:00:00 AM
Homicide,3,March,2016,03/31/2016 12:00:00 AM
Rape,15,March,2016,03/31/2016 12:00:00 AM
Robbery,78,March,2016,03/31/2016 12:00:00 AM
Assault,118,March,2016,03/31/2016 12:00:00 AM
Burglary,180,March,2016,03/31/2016 12:00:00 AM
Motor Vehicle Theft,60,March,2016,03/31/2016 12:00:00 AM
Homicide,3,April,2016,04/30/2016 12:00:00 AM
Rape,7,April,2016,04/30/2016 12:00:00 AM
Robbery,63,April,2016,04/30/2016 12:00:00 AM
Assault,133,April,2016,04/30/2016 12:00:00 AM
Burglary,190,April,2016,04/30/2016 12:00:00 AM
Motor Vehicle Theft,69,April,2016,04/30/2016 12:00:00 AM
Homicide,3,May,2016,05/31/2016 12:00:00 AM
Rape,14,May,2016,05/31/2016 12:00:00 AM
Robbery,87,May,2016,05/31/2016 12:00:00 AM
Assault,151,May,2016,05/31/2016 12:00:00 AM
Burglary,221,May,2016,05/31/2016 12:00:00 AM
Motor Vehicle Theft,77,May,2016,05/31/2016 12:00:00 AM
Homicide,4,June,2016,06/30/2016 12:00:00 AM
Rape,19,June,2016,06/30/2016 12:00:00 AM
Robbery,79,June,2016,06/30/2016 12:00:00 AM
Assault,142,June,2016,06/30/2016 12:00:00 AM
Burglary,203,June,2016,06/30/2016 12:00:00 AM
Motor Vehicle Theft,82,June,2016,06/30/2016 12:00:00 AM
Homicide,6,July,2016,07/31/2016 12:00:00 AM
Rape,15,July,2016,07/31/2016 12:00:00 AM
Robbery,90,July,2016,07/31/2016 12:00:00 AM
Assault,166,July,2016,07/31/2016 12:00:00 AM
Burglary,313,July,2016,07/31/2016 12:00:00 AM
Motor Vehicle Theft,89,July,2016,07/31/2016 12:00:00 AM
Homicide,7,August,2016,08/31/2016 12:00:00 AM
Rape,8,August,2016,08/31/2016 12:00:00 AM
Robbery,101,August,2016,08/31/2016 12:00:00 AM
Assault,154,August,2016,08/31/2016 12:00:00 AM
Burglary,319,August,2016,08/31/2016 12:00:00 AM
Motor Vehicle Theft,94,August,2016,08/31/2016 12:00:00 AM
Homicide,7,September,2016,09/30/2016 12:00:00 AM
Rape,16,September,2016,09/30/2016 12:00:00 AM
Robbery,96,September,2016,09/30/2016 12:00:00 AM
Assault,143,September,2016,09/30/2016 12:00:00 AM
Burglary,218,September,2016,09/30/2016 12:00:00 AM
Motor Vehicle Theft,70,September,2016,09/30/2016 12:00:00 AM
Homicide,3,October,2016,10/31/2016 12:00:00 AM
Rape,9,October,2016,10/31/2016 12:00:00 AM
Robbery,98,October,2016,10/31/2016 12:00:00 AM
Assault,124,October,2016,10/31/2016 12:00:00 AM
Burglary,216,October,2016,10/31/2016 12:00:00 AM
Motor Vehicle Theft,50,October,2016,10/31/2016 12:00:00 AM
Homicide,2,November,2016,11/30/2016 12:00:00 AM
Rape,12,November,2016,11/30/2016 12:00:00 AM
Robbery,92,November,2016,11/30/2016 12:00:00 AM
Assault,143,November,2016,11/30/2016 12:00:00 AM
Burglary,199,November,2016,11/30/2016 12:00:00 AM
Motor Vehicle Theft,83,November,2016,11/30/2016 12:00:00 AM
Homicide,0,December,2016,12/31/2016 12:00:00 AM
Rape,15,December,2016,12/31/2016 12:00:00 AM
Robbery,110,December,2016,12/31/2016 12:00:00 AM
Assault,82,December,2016,12/31/2016 12:00:00 AM
Burglary,178,December,2016,12/31/2016 12:00:00 AM
Motor Vehicle Theft,72,December,2016,12/31/2016 12:00:00 AM
Homicide,8,January,2017,01/31/2017 12:00:00 AM
Rape,15,January,2017,01/31/2017 12:00:00 AM
Robbery,71,January,2017,01/31/2017 12:00:00 AM
Assault,93,January,2017,01/31/2017 12:00:00 AM
Burglary,167,January,2017,01/31/2017 12:00:00 AM
Motor Vehicle Theft,60,January,2017,01/31/2017 12:00:00 AM
Homicide,4,February,2017,02/28/2017 12:00:00 AM
Rape,14,February,2017,02/28/2017 12:00:00 AM
Robbery,61,February,2017,02/28/2017 12:00:00 AM
Assault,102,February,2017,02/28/2017 12:00:00 AM
Burglary,142,February,2017,02/28/2017 12:00:00 AM
Motor Vehicle Theft,33,February,2017,02/28/2017 12:00:00 AM
Homicide,4,March,2017,03/31/2017 12:00:00 AM
Rape,9,March,2017,03/31/2017 12:00:00 AM
Robbery,56,March,2017,03/31/2017 12:00:00 AM
Assault,85,March,2017,03/31/2017 12:00:00 AM
Burglary,145,March,2017,03/31/2017 12:00:00 AM
Motor Vehicle Theft,50,March,2017,03/31/2017 12:00:00 AM
Homicide,3,April,2017,04/30/2017 12:00:00 AM
Rape,8,April,2017,04/30/2017 12:00:00 AM
Robbery,77,April,2017,04/30/2017 12:00:00 AM
Assault,122,April,2017,04/30/2017 12:00:00 AM
Burglary,178,April,2017,04/30/2017 12:00:00 AM
Motor Vehicle Theft,69,April,2017,04/30/2017 12:00:00 AM
Homicide,4,May,2017,05/31/2017 12:00:00 AM
Rape,10,May,2017,05/31/2017 12:00:00 AM
Robbery,68,May,2017,05/31/2017 12:00:00 AM
Assault,132,May,2017,05/31/2017 12:00:00 AM
Burglary,171,May,2017,05/31/2017 12:00:00 AM
Motor Vehicle Theft,67,May,2017,05/31/2017 12:00:00 AM
Homicide,2,June,2017,06/30/2017 12:00:00 AM
Rape,10,June,2017,06/30/2017 12:00:00 AM
Robbery,78,June,2017,06/30/2017 12:00:00 AM
Assault,143,June,2017,06/30/2017 12:00:00 AM
Burglary,183,June,2017,06/30/2017 12:00:00 AM
Motor Vehicle Theft,70,June,2017,06/30/2017 12:00:00 AM
Homicide,4,July,2017,07/31/2017 12:00:00 AM
Rape,13,July,2017,07/31/2017 12:00:00 AM
Robbery,67,July,2017,07/31/2017 12:00:00 AM
Assault,146,July,2017,07/31/2017 12:00:00 AM
Burglary,251,July,2017,07/31/2017 12:00:00 AM
Motor Vehicle Theft,85,July,2017,07/31/2017 12:00:00 AM
Homicide,3,August,2017,08/31/2017 12:00:00 AM
Rape,11,August,2017,08/31/2017 12:00:00 AM
Robbery,90,August,2017,08/31/2017 12:00:00 AM
Assault,172,August,2017,08/31/2017 12:00:00 AM
Burglary,266,August,2017,08/31/2017 12:00:00 AM
Motor Vehicle Theft,87,August,2017,08/31/2017 12:00:00 AM
Homicide,1,September,2017,09/30/2017 12:00:00 AM
Rape,9,September,2017,09/30/2017 12:00:00 AM
Robbery,59,September,2017,09/30/2017 12:00:00 AM
Assault,138,September,2017,09/30/2017 12:00:00 AM
Burglary,174,September,2017,09/30/2017 12:00:00 AM
Motor Vehicle Theft,56,September,2017,09/30/2017 12:00:00 AM
Homicide,3,October,2017,10/31/2017 12:00:00 AM
Rape,9,October,2017,10/31/2017 12:00:00 AM
Robbery,74,October,2017,10/31/2017 12:00:00 AM
Assault,126,October,2017,10/31/2017 12:00:00 AM
Burglary,237,October,2017,10/31/2017 12:00:00 AM
Motor Vehicle Theft,76,October,2017,10/31/2017 12:00:00 AM
Homicide,3,November,2017,11/30/2017 12:00:00 AM
Rape,9,November,2017,11/30/2017 12:00:00 AM
Robbery,72,November,2017,11/30/2017 12:00:00 AM
Assault,119,November,2017,11/30/2017 12:00:00 AM
Burglary,235,November,2017,11/30/2017 12:00:00 AM
Motor Vehicle Theft,73,November,2017,11/30/2017 12:00:00 AM
Homicide,3,December,2017,12/31/2017 12:00:00 AM
Rape,5,December,2017,12/31/2017 12:00:00 AM
Robbery,69,December,2017,12/31/2017 12:00:00 AM
Assault,111,December,2017,12/31/2017 12:00:00 AM
Burglary,180,December,2017,12/31/2017 12:00:00 AM
Motor Vehicle Theft,77,December,2017,12/31/2017 12:00:00 AM
Homicide,1,January,2018,01/31/2018 12:00:00 AM
Rape,9,January,2018,01/31/2018 12:00:00 AM
Robbery,89,January,2018,01/31/2018 12:00:00 AM
Assault,118,January,2018,01/31/2018 12:00:00 AM
Burglary,149,January,2018,01/31/2018 12:00:00 AM
Motor Vehicle Theft,73,January,2018,01/31/2018 12:00:00 AM
Homicide,3,February,2018,02/28/2018 12:00:00 AM
Rape,11,February,2018,02/28/2018 12:00:00 AM
Robbery,68,February,2018,02/28/2018 12:00:00 AM
Assault,77,February,2018,02/28/2018 12:00:00 AM
Burglary,129,February,2018,02/28/2018 12:00:00 AM
Motor Vehicle Theft,85,February,2018,02/28/2018 12:00:00 AM